completed_courses,next_recommended
['MATH1131'],"['CSE1010', 'MATH1131']"
"['MATH1131', 'MATH1131']",['CSE1010']
"['MATH1131', 'MATH1131', 'CSE1010']",['CSE1010']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010']","['CSE2100', 'CSE1010', 'MATH2210', 'CSE2010', 'MATH1131']"
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'MATH2210']","['MATH1131', 'CSE1010', 'CSE2010', 'CSE2100']"
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'MATH2210', 'CSE2100']","['CSE1010', 'CSE2010']"
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'MATH2210', 'CSE2100', 'CSE1010']",['MATH1131']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'MATH2210', 'CSE2100', 'CSE1010', 'MATH1131']","['CSE2010', 'MATH1131']"
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'MATH2210', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010']",['CSE1010']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'MATH2210', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010', 'CSE1010']",['STAT3025']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'MATH2210', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010', 'CSE1010', 'STAT3025']",['MATH1131']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'MATH2210', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010', 'CSE1010', 'STAT3025', 'MATH1131']",['CSE2100']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'MATH2210', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010', 'CSE1010', 'STAT3025', 'MATH1131', 'CSE2100']",['CSE1010']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'MATH2210', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010', 'CSE1010', 'STAT3025', 'MATH1131', 'CSE2100', 'CSE1010']",['MATH1131']
"['MATH1131', 'MATH1131', 'CSE1010', 'CSE1010', 'MATH2210', 'CSE2100', 'CSE1010', 'MATH1131', 'CSE2010', 'CSE1010', 'STAT3025', 'MATH1131', 'CSE2100', 'CSE1010', 'MATH1131']",['CSE2010']
