student_id,course_id,grade,semester
1,MATH1131,W,Semester 1
1,MATH1131,F,Semester 1
1,CSE1010,C,Semester 1
1,CSE1010,W,Semester 1
1,MATH2210,F,Semester 2
1,CSE2100,C,Semester 2
1,CSE1010,W,Semester 2
1,MATH1131,C,Semester 2
1,CSE2010,W,Semester 3
1,CSE1010,D,Semester 3
1,STAT3025,D,Semester 3
1,MATH1131,A,Semester 3
1,CSE2100,C,Semester 4
1,CSE1010,A,Semester 4
1,MATH1131,C,Semester 4
1,CSE2010,W,Semester 4
1,CSE1010,F,Semester 5
1,CSE2010,F,Semester 5
1,MATH1131,B,Semester 5
1,STAT3025,B,Semester 5
1,MATH2210,F,Semester 6
1,CSE1010,D,Semester 6
1,MATH1131,B,Semester 6
1,CSE3500,B,Semester 6
2,MATH1131,B,Semester 1
2,CSE1010,C,Semester 1
2,MATH1131,A,Semester 1
2,CSE1010,D,Semester 1
2,CSE1010,F,Semester 2
2,CSE2010,W,Semester 2
2,MATH1131,W,Semester 2
2,MATH2210,C,Semester 2
2,MATH2210,A,Semester 3
2,CSE1010,B,Semester 3
2,CSE1010,D,Semester 3
2,CSE2010,W,Semester 3
2,CSE1010,W,Semester 4
2,MATH2210,B,Semester 4
2,STAT3025,F,Semester 4
2,MATH1131,D,Semester 4
2,CSE2100,W,Semester 5
2,CSE1010,W,Semester 5
2,MATH1131,D,Semester 5
2,STAT3025,B,Semester 5
2,MATH2210,F,Semester 6
2,MATH1131,F,Semester 6
2,CSE1010,A,Semester 6
2,CSE2100,D,Semester 6
3,CSE1010,B,Semester 1
3,MATH1131,B,Semester 1
3,CSE1010,B,Semester 1
3,MATH1131,C,Semester 1
3,CSE1010,D,Semester 2
3,MATH1131,D,Semester 2
3,CSE1010,F,Semester 2
3,CSE2010,C,Semester 2
3,CSE1010,A,Semester 3
3,CSE1010,A,Semester 3
3,MATH1131,F,Semester 3
3,MATH1131,F,Semester 3
3,CSE2100,A,Semester 4
3,CSE2010,F,Semester 4
3,CSE1010,B,Semester 4
3,MATH2210,D,Semester 4
3,STAT3025,F,Semester 5
3,CSE2010,W,Semester 5
3,MATH1131,C,Semester 5
3,CSE2100,W,Semester 5
3,MATH1131,A,Semester 6
3,CSE1010,W,Semester 6
3,CSE2100,F,Semester 6
3,STAT3025,W,Semester 6
4,CSE1010,C,Semester 1
4,MATH1131,C,Semester 1
4,CSE1010,A,Semester 1
4,MATH1131,A,Semester 1
4,CSE2100,B,Semester 2
4,CSE1010,W,Semester 2
4,MATH2210,A,Semester 2
4,MATH1131,B,Semester 2
4,MATH1131,F,Semester 3
4,CSE2100,D,Semester 3
4,MATH2210,A,Semester 3
4,STAT3025,F,Semester 3
4,CSE2010,D,Semester 4
4,CSE2100,W,Semester 4
4,MATH1131,F,Semester 4
4,MATH2210,D,Semester 4
4,MATH2210,D,Semester 5
4,CSE1010,B,Semester 5
4,CSE3500,A,Semester 5
4,CSE2010,D,Semester 5
4,STAT3025,D,Semester 6
4,MATH1131,W,Semester 6
4,CSE2100,A,Semester 6
4,MATH2210,B,Semester 6
5,CSE1010,C,Semester 1
5,CSE1010,A,Semester 1
5,MATH1131,B,Semester 1
5,MATH1131,C,Semester 1
5,MATH2210,A,Semester 2
5,MATH1131,B,Semester 2
5,CSE1010,W,Semester 2
5,MATH1131,B,Semester 2
5,CSE1010,W,Semester 3
5,CSE2010,D,Semester 3
5,CSE1010,C,Semester 3
5,MATH1131,W,Semester 3
5,CSE1010,W,Semester 4
5,MATH1131,D,Semester 4
5,CSE2010,A,Semester 4
5,MATH2210,F,Semester 4
5,MATH1131,A,Semester 5
5,CSE2010,D,Semester 5
5,CSE2100,B,Semester 5
5,CSE1010,C,Semester 5
5,STAT3025,C,Semester 6
5,CSE3500,W,Semester 6
5,CSE2010,C,Semester 6
5,CSE1010,B,Semester 6
6,MATH1131,F,Semester 1
6,MATH1131,W,Semester 1
6,CSE1010,W,Semester 1
6,CSE1010,C,Semester 1
6,CSE1010,W,Semester 2
6,MATH2210,W,Semester 2
6,MATH1131,A,Semester 2
6,CSE2100,A,Semester 2
6,MATH1131,C,Semester 3
6,MATH1131,B,Semester 3
6,CSE2100,C,Semester 3
6,STAT3025,F,Semester 3
6,CSE2100,A,Semester 4
6,MATH1131,D,Semester 4
6,MATH1131,D,Semester 4
6,CSE1010,C,Semester 4
6,MATH1131,B,Semester 5
6,MATH1131,B,Semester 5
6,MATH2210,W,Semester 5
6,CSE2010,A,Semester 5
6,MATH1131,C,Semester 6
6,MATH2210,B,Semester 6
6,CSE2010,A,Semester 6
6,CSE1010,F,Semester 6
7,MATH1131,B,Semester 1
7,MATH1131,F,Semester 1
7,CSE1010,A,Semester 1
7,CSE1010,B,Semester 1
7,CSE1010,D,Semester 2
7,CSE1010,B,Semester 2
7,CSE2100,C,Semester 2
7,MATH2210,W,Semester 2
7,MATH2210,B,Semester 3
7,CSE1010,A,Semester 3
7,CSE2010,A,Semester 3
7,MATH1131,D,Semester 3
7,CSE1010,W,Semester 4
7,MATH1131,F,Semester 4
7,MATH2210,D,Semester 4
7,STAT3025,A,Semester 4
7,MATH1131,A,Semester 5
7,MATH2210,B,Semester 5
7,CSE1010,W,Semester 5
7,CSE2010,B,Semester 5
7,CSE1010,C,Semester 6
7,CSE3500,F,Semester 6
7,CSE2100,W,Semester 6
7,CSE1010,B,Semester 6
8,CSE1010,W,Semester 1
8,CSE1010,F,Semester 1
8,MATH1131,W,Semester 1
8,MATH1131,F,Semester 1
8,MATH1131,C,Semester 2
8,MATH2210,F,Semester 2
8,CSE2010,F,Semester 2
8,CSE1010,A,Semester 2
8,CSE1010,D,Semester 3
8,MATH2210,B,Semester 3
8,MATH1131,W,Semester 3
8,CSE2010,B,Semester 3
8,CSE1010,F,Semester 4
8,CSE2010,D,Semester 4
8,STAT3025,D,Semester 4
8,CSE2100,D,Semester 4
8,CSE1010,B,Semester 5
8,MATH2210,D,Semester 5
8,CSE2100,F,Semester 5
8,CSE1010,D,Semester 5
8,STAT3025,B,Semester 6
8,CSE1010,C,Semester 6
8,MATH2210,W,Semester 6
8,MATH1131,F,Semester 6
9,MATH1131,C,Semester 1
9,CSE1010,F,Semester 1
9,CSE1010,C,Semester 1
9,MATH1131,B,Semester 1
9,MATH2210,A,Semester 2
9,CSE2010,C,Semester 2
9,CSE1010,C,Semester 2
9,MATH1131,F,Semester 2
9,MATH1131,A,Semester 3
9,STAT3025,B,Semester 3
9,MATH2210,W,Semester 3
9,CSE1010,F,Semester 3
9,CSE2100,A,Semester 4
9,MATH1131,D,Semester 4
9,MATH1131,B,Semester 4
9,CSE2010,F,Semester 4
9,CSE2100,B,Semester 5
9,CSE3500,D,Semester 5
9,CSE1010,W,Semester 5
9,MATH1131,C,Semester 5
9,MATH2210,D,Semester 6
9,CSE1010,W,Semester 6
9,CSE1010,D,Semester 6
9,CSE2010,D,Semester 6
10,CSE1010,F,Semester 1
10,MATH1131,C,Semester 1
10,MATH1131,C,Semester 1
10,CSE1010,A,Semester 1
10,MATH1131,B,Semester 2
10,MATH1131,W,Semester 2
10,MATH2210,B,Semester 2
10,CSE1010,C,Semester 2
10,CSE2010,W,Semester 3
10,CSE2100,F,Semester 3
10,STAT3025,A,Semester 3
10,CSE1010,C,Semester 3
10,MATH2210,A,Semester 4
10,CSE2010,W,Semester 4
10,CSE2100,W,Semester 4
10,MATH1131,W,Semester 4
10,CSE1010,A,Semester 5
10,STAT3025,D,Semester 5
10,CSE1010,F,Semester 5
10,CSE3500,F,Semester 5
10,CSE3500,D,Semester 6
10,CSE1010,W,Semester 6
10,MATH1131,W,Semester 6
10,CSE2100,W,Semester 6
11,MATH1131,D,Semester 1
11,MATH1131,A,Semester 1
11,CSE1010,D,Semester 1
11,CSE1010,A,Semester 1
11,CSE2010,C,Semester 2
11,CSE2100,W,Semester 2
11,CSE1010,C,Semester 2
11,MATH2210,W,Semester 2
11,MATH1131,B,Semester 3
11,CSE1010,W,Semester 3
11,CSE2100,C,Semester 3
11,CSE1010,W,Semester 3
11,CSE2100,B,Semester 4
11,MATH2210,A,Semester 4
11,STAT3025,C,Semester 4
11,CSE3500,A,Semester 4
11,CSE2010,B,Semester 5
11,MATH1131,F,Semester 5
11,CSE3500,C,Semester 5
11,CSE2100,D,Semester 5
11,MATH1131,A,Semester 6
11,CSE1010,B,Semester 6
11,MATH1131,W,Semester 6
11,STAT3025,D,Semester 6
12,MATH1131,B,Semester 1
12,CSE1010,D,Semester 1
12,MATH1131,F,Semester 1
12,CSE1010,B,Semester 1
12,CSE1010,B,Semester 2
12,CSE2010,B,Semester 2
12,MATH2210,C,Semester 2
12,CSE1010,D,Semester 2
12,CSE2100,C,Semester 3
12,MATH1131,B,Semester 3
12,CSE1010,D,Semester 3
12,CSE1010,A,Semester 3
